"ID","site","cultivar","sample"
"CCCHF1","CHFC","CH","CCCHF1"
"CCCHF2","CHFC","CH","CCCHF2"
"CCCHF5","CHFC","CH","CCCHF5"
"CCCSF1","CHFC","CS","CCCSF1"
"CCCSF2","CHFC","CS","CCCSF2"
"CCCSF5","CHFC","CS","CCCSF5"
"CCMEF1","CHFC","ME","CCMEF1"
"CCMEF2","CHFC","ME","CCMEF2"
"CCMEF5","CHFC","ME","CCMEF5"
"HDCHF2","HD","CH","HDCHF2"
"HDCHF3","HD","CH","HDCHF3"
"HDCHF5","HD","CH","HDCHF5"
"HDCSF2","HD","CS","HDCSF2"
"HDCSF4","HD","CS","HDCSF4"
"HDCSF5","HD","CS","HDCSF5"
"HDMEF2","HD","ME","HDMEF2"
"HDMEF3","HD","ME","HDMEF3"
"HDMEF5","HD","ME","HDMEF5"
"HSPCHF2","HSP","CH","HSPCHF2"
"HSPCHF3","HSP","CH","HSPCHF3"
"HSPCHF5","HSP","CH","HSPCHF5"
"HSPCSF1","HSP","CS","HSPCSF1"
"HSPCSF2","HSP","CS","HSPCSF2"
"HSPCSF4","HSP","CS","HSPCSF4"
"HSPMEF3","HSP","ME","HSPMEF3"
"HSPMEF4","HSP","ME","HSPMEF4"
"HSPMEF5","HSP","ME","HSPMEF5"
"SSBCHF3","SSB","CH","SSBCHF3"
"SSBCHF4","SSB","CH","SSBCHF4"
"SSBCHF5","SSB","CH","SSBCHF5"
"SSBCSF1","SSB","CS","SSBCSF1"
"SSBCSF3","SSB","CS","SSBCSF3"
"SSBCSF4","SSB","CS","SSBCSF4"
"SSBMEF2","SSB","ME","SSBMEF2"
"SSBMEF3","SSB","ME","SSBMEF3"
"SSBMEF4","SSB","ME","SSBMEF4"
"XGCHF1","XG","CH","XGCHF1"
"XGCHF2","XG","CH","XGCHF2"
"XGCHF5","XG","CH","XGCHF5"
"XGCSF1","XG","CS","XGCSF1"
"XGCSF2","XG","CS","XGCSF2"
"XGCSF4","XG","CS","XGCSF4"
"XGMEF2","XG","ME","XGMEF2"
"XGMEF3","XG","ME","XGMEF3"
"XGMEF5","XG","ME","XGMEF5"
"YSCHF2","YSGD","CH","YSCHF2"
"YSCHF3","YSGD","CH","YSCHF3"
"YSCHF5","YSGD","CH","YSCHF5"
"YSCSF2","YSGD","CS","YSCSF2"
"YSCSF3","YSGD","CS","YSCSF3"
"YSCSF5","YSGD","CS","YSCSF5"
"YSMEF1","YSGD","ME","YSMEF1"
"YSMEF2","YSGD","ME","YSMEF2"
"YSMEF4","YSGD","ME","YSMEF4"
