ID,cis_3_Hexenal,trans_2_Hexenal,trans_2_Pentenal,OTU517,OTU3339,OTU34634,OTU22010
CL2A,801.5096479,2254.731591,2.129719989,1.038721364,0.174809326,0.405377252,0.270348124
CL2B,662.296882,2179.383187,2.047649027,0.936173364,0.183173819,0.429635511,0.23772345
CL2C,603.9633056,2178.546012,2.140786795,0.992195097,0.229055815,0.44978209,0.376870637
CZ2A,712.1386542,1862.357397,2.815488932,1.147067901,0.211953205,0.336968684,0.309662414
CZ2B,499.4942393,1410.686944,2.745252141,1.108304436,0.196791152,0.257090951,0.23772345
CZ2C,565.9616064,1424.257006,2.848704558,0.885763682,0.232131543,0.373403102,0.319878272
CE2A,475.0918147,1040.791524,3.120896169,0.923090123,0.223108689,0.275276441,0.27703774
CE2B,287.0512551,722.4039994,2.626358176,0.873911924,0.289526137,0.417169288,0.291984339
CE2C,490.855226,1269.722629,2.854674166,1.108304436,0.245194428,0.488143763,0.319878272
HL2A,323.3240481,1689.919217,1.658634851,2.070096036,3.080589509,5.02192743,2.23260883
HL2B,372.9888003,1661.042228,1.659894836,1.371852207,3.080589509,0.847715446,0.465715075
HL2C,295.3083127,1620.921592,1.625151917,1.439108825,3.080589509,5.02192743,2.23260883
HZ2A,387.92475,1549.48615,2.995094006,1.40435874,0.588354649,1.19873311,2.23260883
HZ2B,422.4330861,1483.601964,2.830990202,1.285295278,0.735336122,0.847715446,2.23260883
HZ2C,278.4661625,1212.932817,2.325429404,2.419217951,3.080589509,5.02192743,0.532923297
HE2A,553.4408146,1557.409338,2.445536413,0.808121614,3.080589509,0.608108614,2.23260883
HE2B,486.539459,1524.718824,2.294585442,0.992195097,0.642601137,0.959126278,2.23260883
HE2C,383.5057717,1253.307799,1.911508612,0.650535192,0.642601137,0.429635511,0.465715075
PL2A,410.1220037,1644.209591,2.566363185,0.778191436,3.080589509,0.556552331,2.23260883
PL2B,483.1925998,1993.046202,2.37978747,0.873911924,0.549866153,0.639318842,2.23260883
PL2C,351.3875234,1753.657962,2.47250382,0.749940492,3.080589509,0.594032793,2.23260883
PZ2A,497.6965318,1520.60016,2.786959031,0.490821424,3.080589509,0.594032793,2.23260883
PZ2B,356.3975421,1447.295607,2.690864932,0.628472843,3.080589509,0.639318842,2.23260883
PZ2C,338.4085021,1393.219976,2.635605681,0.851013597,0.642601137,0.623155928,0.465715075
PE2A,274.8392019,1889.451846,2.369317371,0.433935998,0.427277171,0.44978209,0.465715075
PE2B,301.1718933,1297.035741,2.425550706,0.507519411,0.441373176,0.847715446,0.532923297
PE2C,248.5065104,1108.141669,2.313084037,0.897901051,0.441373176,0.623155928,2.23260883
SL2A,915.3132623,1684.516389,2.463861234,0.96340575,0.196791152,0.320805769,0.291984339
SL2B,829.1732113,2168.167914,3.041797625,1.007231332,0.196791152,0.243015129,0.291984339
SL2C,718.3505384,1749.064013,2.318072043,1.608581969,3.080589509,5.02192743,2.23260883
SZ2A,1045.293225,2500.359152,4.025662998,0.923090123,0.214656091,0.288301178,0.344245963
SZ2B,676.1429564,1674.702861,3.661784769,1.08998691,0.223108689,0.254202173,0.331298629
SZ2C,643.1299749,1794.975247,3.01281498,0.885763682,0.280295698,0.262985891,0.309662414
SE2A,1041.87303,1994.336912,3.610622533,1.08998691,0.196791152,0.336968684,0.27703774
SE2B,1077.834991,2230.540312,3.4083159,0.923090123,0.211953205,0.275276441,0.220817977
SE2C,1059.854011,2112.438612,3.509469216,0.897901051,0.232131543,0.336968684,0.27703774
XL2A,418.5560597,2211.385008,1.981172515,1.08998691,0.214656091,0.254202173,0.21335576
XL2B,415.3838705,2003.857738,2.089181854,1.055236825,0.280295698,0.272138264,0.270348124
XL2C,426.4213213,2065.21547,2.314911094,1.072312239,0.194423156,0.298607011,0.258212185
XZ2A,389.3433316,1607.962701,1.939318405,1.007231332,0.176851935,0.28497135,0.247427639
XZ2B,346.0828543,1485.696966,2.281052261,0.731950135,0.209303845,0.302153423,0.21335576
XZ2C,290.1013759,1348.614299,1.969201446,0.936173364,0.201656718,0.28497135,0.27703774
XE2A,621.3040911,1584.70735,3.906053209,0.851013597,0.185349286,0.30942408,0.319878272
XE2B,496.6585432,1230.076125,3.885540603,0.885763682,0.170815349,0.324735597,0.258212185
XE2C,591.8490363,1406.020758,3.675233937,0.977594757,0.201656718,0.411193584,0.309662414
YL2A,268.7274383,1533.166628,1.223935814,0.977594757,3.080589509,5.02192743,2.23260883
YL2B,340.7723684,1604.578869,1.243097527,2.214994723,3.080589509,5.02192743,2.23260883
YL2C,292.6525872,1503.820904,1.133592171,1.108304436,3.080589509,0.896382951,2.23260883
YZ2A,254.2323816,1200.498785,1.580868564,0.787971869,0.457131168,0.65677612,0.300421047
YZ2B,201.3022424,1024.885122,1.436697961,0.673608377,0.495619664,0.959126278,2.23260883
YZ2C,191.185531,994.34462,1.693252979,0.628472843,0.441373176,0.696540367,2.23260883
YE2A,739.2108034,1328.915091,4.400004077,0.580467349,0.495619664,0.545365287,0.465715075
YE2B,524.1974103,1018.882039,3.102469208,0.723190324,0.735336122,0.594032793,2.23260883
YE2C,610.2432836,1189.495457,2.700622525,0.643073182,0.642601137,0.568344367,0.532923297
