ID,Group,Cultivar,DAT,sample
CSCK1_7,Control,CS,DAT7,CSCK_7
CSCK2_7,Control,CS,DAT7,CSCK_7
CSCK3_7,Control,CS,DAT7,CSCK_7
CSSP1_7,Treat,CS,DAT7,CSSP_7
CSSP2_7,Treat,CS,DAT7,CSSP_7
CSSP3_7,Treat,CS,DAT7,CSSP_7
CHCK1_7,Control,CH,DAT7,CHCK_7
CHCK2_7,Control,CH,DAT7,CHCK_7
CHCK3_7,Control,CH,DAT7,CHCK_7
CHSP1_7,Treat,CH,DAT7,CHSP_7
CHSP2_7,Treat,CH,DAT7,CHSP_7
CHSP3_7,Treat,CH,DAT7,CHSP_7
CSCK1_14,Control,CS,DAT14,CSCK_14
CSCK2_14,Control,CS,DAT14,CSCK_14
CSCK3_14,Control,CS,DAT14,CSCK_14
CSSP1_14,Treat,CS,DAT14,CSSP_14
CSSP2_14,Treat,CS,DAT14,CSSP_14
CSSP3_14,Treat,CS,DAT14,CSSP_14
CHCK1_14,Control,CH,DAT14,CHCK_14
CHCK2_14,Control,CH,DAT14,CHCK_14
CHCK3_14,Control,CH,DAT14,CHCK_14
CHSP1_14,Treat,CH,DAT14,CHSP_14
CHSP2_14,Treat,CH,DAT14,CHSP_14
CHSP3_14,Treat,CH,DAT14,CHSP_14
CSCK1_28,Control,CS,DAT28,CSCK_28
CSCK2_28,Control,CS,DAT28,CSCK_28
CSCK3_28,Control,CS,DAT28,CSCK_28
CSSP1_28,Treat,CS,DAT28,CSSP_28
CSSP2_28,Treat,CS,DAT28,CSSP_28
CSSP3_28,Treat,CS,DAT28,CSSP_28
CHCK1_28,Control,CH,DAT28,CHCK_28
CHCK2_28,Control,CH,DAT28,CHCK_28
CHCK3_28,Control,CH,DAT28,CHCK_28
CHSP1_28,Treat,CH,DAT28,CHSP_28
CHSP2_28,Treat,CH,DAT28,CHSP_28
CHSP3_28,Treat,CH,DAT28,CHSP_28
