"ID","cultivar","group","sample"
"CSCK1","CS","Control","CS_Control"
"CSCK2","CS","Control","CS_Control"
"CSCK3","CS","Control","CS_Control"
"CSSP1","CS","inoculation","CS_inoculation"
"CSSP2","CS","inoculation","CS_inoculation"
"CSSP3","CS","inoculation","CS_inoculation"
"CHCK1","CH","Control","CH_Control"
"CHCK2","CH","Control","CH_Control"
"CHCK3","CH","Control","CH_Control"
"CHSP1","CH","inoculation","CH_inoculation"
"CHSP2","CH","inoculation","CH_inoculation"
"CHSP3","CH","inoculation","CH_inoculation"
